No.,Value of Y
1,0
2,-0.0211
3,-0.1305
4,-0.2827
5,-0.296
6,-0.3627
7,-0.3655
8,-0.3371
9,-0.376
10,-0.5199
11,-0.7593
12,-1.1047
13,-1.4695
14,-1.7356
15,-1.9194
16,-2.1632
17,-2.4965
18,-2.8263
19,-3.1718
20,-3.5827
21,-4.0303
22,-4.5023
23,-5.0137
24,-5.6072
25,-6.2578
26,-6.884
27,-7.4997
28,-8.1493
29,-8.7988
30,-9.3823
31,-9.9714
32,-10.5898
33,-11.2038
34,-11.7602
35,-12.3415
36,-12.9854
37,-13.6
38,-14.1497
39,-14.5689
40,-14.9382
41,-15.2975
42,-15.5974
43,-15.8329
44,-16.0507
45,-16.2601
46,-16.3567
47,-16.3506
48,-16.265
49,-16.1256
50,-15.9384
51,-15.7929
52,-15.6907
53,-15.5341
54,-15.3858
55,-15.2686
56,-15.2064
57,-15.123
58,-14.9925
59,-14.8336
60,-14.5593
61,-13.9908
62,-13.2649
63,-12.4
64,-11.632
