Velocity,Average_D
0.2Vmax,0.02255
0.2Vmax,0.05895
0.2Vmax,0.02075
0.2Vmax,0.059250000000000004
0.2Vmax,0.10805000000000001
0.2Vmax,0.11710000000000001
0.2Vmax,0.10769999999999999
0.2Vmax,0.08305
0.2Vmax,0.1013
0.2Vmax,0.10575
0.2Vmax,0.0563
0.2Vmax,0.07075000000000001
0.2Vmax,0.0414
0.2Vmax,0.09104999999999999
0.2Vmax,0.0862
0.2Vmax,0.026699999999999998
0.2Vmax,0.045000000000000005
0.2Vmax,0.051449999999999996
0.2Vmax,0.0257
0.2Vmax,0.07725
0.2Vmax,0.053849999999999995
0.2Vmax,0.0309
0.2Vmax,0.027549999999999998
0.2Vmax,0.0456
0.2Vmax,0.033350000000000005
0.2Vmax,0.04055
0.2Vmax,0.06105
0.2Vmax,0.03515
0.2Vmax,0.0643
0.2Vmax,0.0755
0.2Vmax,0.0281
0.2Vmax,0.0441
0.2Vmax,0.06359999999999999
0.2Vmax,0.0603
0.2Vmax,0.004050000000000001
0.2Vmax,0.06345
0.2Vmax,0.08030000000000001
0.2Vmax,0.0533
0.2Vmax,0.02935
0.2Vmax,0.0619
0.2Vmax,0.07665
0.2Vmax,0.08015000000000001
0.2Vmax,0.02975
0.2Vmax,0.07785
0.2Vmax,0.06455
0.2Vmax,0.018
0.2Vmax,0.021
0.2Vmax,0.0241
0.2Vmax,0.03125
0.2Vmax,0.01745
0.2Vmax,0.01705
0.2Vmax,0.021949999999999997
0.2Vmax,0.0228
0.2Vmax,0.015099999999999999
0.2Vmax,0.01365
0.2Vmax,0.0364
0.2Vmax,0.02465
0.2Vmax,0.026350000000000002
0.2Vmax,0.02105
0.2Vmax,0.02175
0.2Vmax,0.02595
0.2Vmax,0.013000000000000001
0.2Vmax,0.00945
0.3Vmax,0.013649999999999999
0.3Vmax,0.02085
0.3Vmax,0.061649999999999996
0.3Vmax,0.03395
0.3Vmax,0.06470000000000001
0.3Vmax,0.0553
0.3Vmax,0.033049999999999996
0.3Vmax,0.0234
0.3Vmax,0.0347
0.3Vmax,0.02495
0.3Vmax,0.00905
0.3Vmax,0.01565
0.3Vmax,0.011099999999999999
0.3Vmax,0.01575
0.3Vmax,0.01235
0.3Vmax,0.0562
0.3Vmax,0.01725
0.3Vmax,0.019950000000000002
0.3Vmax,0.02905
0.3Vmax,0.01455
0.3Vmax,0.02475
0.3Vmax,0.027800000000000002
0.3Vmax,0.0146
0.3Vmax,0.01375
0.3Vmax,0.02445
0.3Vmax,0.0143
0.3Vmax,0.01895
0.3Vmax,0.0078000000000000005
0.3Vmax,0.00885
0.3Vmax,0.00165
0.3Vmax,0.03245
0.3Vmax,0.01455
0.3Vmax,0.00835
0.3Vmax,0.00845
0.3Vmax,0.0049
0.3Vmax,0.00805
0.3Vmax,0.00285
0.3Vmax,0.00245
0.3Vmax,0.0183
0.3Vmax,0.0049
0.3Vmax,0.0074
0.3Vmax,0.01865
0.3Vmax,0.01445
0.3Vmax,0.0141
